Tahun,Bulan,Harga(rupiah)
2017,Juli,24400
2017,agustus,24000
2017,september,12750
2017,oktober,11150
2017,november,14300
2017,desember,19500
2018,januari,32250
2018,februari,24100
2018,maret,32450
2018,april,25150
2018,mei,18250
2018,juni,27400
2018,Juli,35050
2018,agustus,26150
2018,september,14000
2018,oktober,16250
2018,november,18300
2018,desember,16050
2019,januari,26100
2019,februari,13500
2019,maret,14650
2019,april,14350
2019,mei,17900
2019,juni,15950
2019,Juli,32050
2019,agustus,58400
2019,september,39600
2019,oktober,31850
2019,november,25600
2019,desember,21000
2020,januari,28950
2020,februari,49400
2020,maret,23650
2020,april,30150
2020,mei,14800
2020,juni,14250
2020,Juli,15100
2020,agustus,17250
2020,september,13400
2020,oktober,14700
2020,november,16200
2020,desember,26700
2021,januari,56050
2021,februari,52700
2021,maret,67050
2021,april,44600
2021,mei,33150
2021,juni,24000
2021,Juli,35150
2021,agustus,25400
2021,september,13550
2021,oktober,16400
2021,november,15650
2021,desember,33350
2022,januari,47750
2022,februari,23150
2022,maret,38150
2022,april,29450
2022,mei,22400
2022,juni,52400
